 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 19, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Carbon.txt

 Ion = Krypton [36] , Mass = 78 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 140.00 MeV   5.057E+01  9.462E-02   16.13 um     4440 A      3327 A   
 150.00 MeV   5.041E+01  8.924E-02   17.00 um     4614 A      3363 A   
 160.00 MeV   5.037E+01  8.447E-02   17.88 um     4783 A      3398 A   
 170.00 MeV   5.039E+01  8.022E-02   18.76 um     4947 A      3432 A   
 180.00 MeV   5.019E+01  7.640E-02   19.64 um     5105 A      3465 A   
 200.00 MeV   4.967E+01  6.982E-02   21.42 um     5696 A      3530 A   
 225.00 MeV   4.917E+01  6.311E-02   23.66 um     6527 A      3608 A   
 250.00 MeV   4.861E+01  5.765E-02   25.93 um     7278 A      3684 A   
 275.00 MeV   4.802E+01  5.310E-02   28.22 um     7975 A      3759 A   
 300.00 MeV   4.741E+01  4.926E-02   30.54 um     8630 A      3833 A   
 325.00 MeV   4.677E+01  4.596E-02   32.90 um     9256 A      3906 A   
 350.00 MeV   4.612E+01  4.310E-02   35.28 um     9857 A      3979 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom 
  2.2529E+02                keV / micron   
  2.2529E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  4.7461E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
