 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\cd106_in_pb208.txt

 Ion = Cadmium [48] , Mass = 113.903 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  55.00 MeV   1.152E+01  2.388E-01    6.79 um     1.08 um     1.23 um  
  60.00 MeV   1.209E+01  2.236E-01    7.14 um     1.09 um     1.26 um  
  65.00 MeV   1.264E+01  2.104E-01    7.48 um     1.10 um     1.28 um  
  70.00 MeV   1.316E+01  1.989E-01    7.81 um     1.11 um     1.30 um  
  80.00 MeV   1.414E+01  1.795E-01    8.44 um     1.13 um     1.34 um  
  90.00 MeV   1.505E+01  1.638E-01    9.02 um     1.15 um     1.37 um  
 100.00 MeV   1.589E+01  1.509E-01    9.58 um     1.16 um     1.39 um  
 110.00 MeV   1.667E+01  1.400E-01   10.11 um     1.17 um     1.41 um  
 120.00 MeV   1.740E+01  1.307E-01   10.61 um     1.18 um     1.43 um  
 130.00 MeV   1.807E+01  1.227E-01   11.10 um     1.19 um     1.45 um  
 140.00 MeV   1.870E+01  1.157E-01   11.57 um     1.20 um     1.47 um  
 150.00 MeV   1.929E+01  1.095E-01   12.03 um     1.20 um     1.48 um  
 160.00 MeV   1.983E+01  1.040E-01   12.47 um     1.21 um     1.50 um  
 170.00 MeV   2.034E+01  9.902E-02   12.91 um     1.22 um     1.51 um  
 180.00 MeV   2.081E+01  9.457E-02   13.33 um     1.22 um     1.52 um  
 200.00 MeV   2.166E+01  8.684E-02   14.15 um     1.23 um     1.55 um  
 225.00 MeV   2.256E+01  7.891E-02   15.14 um     1.25 um     1.57 um  
 250.00 MeV   2.349E+01  7.241E-02   16.09 um     1.26 um     1.59 um  
 275.00 MeV   2.415E+01  6.696E-02   17.00 um     1.28 um     1.61 um  
 300.00 MeV   2.471E+01  6.234E-02   17.90 um     1.29 um     1.63 um  
 325.00 MeV   2.517E+01  5.835E-02   18.78 um     1.30 um     1.64 um  
 350.00 MeV   2.553E+01  5.488E-02   19.64 um     1.31 um     1.66 um  
 375.00 MeV   2.582E+01  5.182E-02   20.50 um     1.32 um     1.67 um  
 400.00 MeV   2.604E+01  4.912E-02   21.34 um     1.33 um     1.69 um  
 450.00 MeV   2.632E+01  4.452E-02   23.02 um     1.35 um     1.71 um  
 500.00 MeV   2.644E+01  4.076E-02   24.68 um     1.38 um     1.73 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.1343E+02                 eV / Angstrom 
  1.1343E+03                keV / micron   
  1.1343E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.4404E+02                 eV / (1E15 atoms/cm2)
  1.6495E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
