 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\ti48_in_ti48.txt

 Ion = Titanium [22] , Mass = 47.95 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 MeV   1.980E+01  2.612E-02   13.04 um     4783 A      4889 A   
 110.00 MeV   1.958E+01  2.408E-02   14.17 um     5062 A      4988 A   
 120.00 MeV   1.927E+01  2.236E-02   15.30 um     5332 A      5085 A   
 130.00 MeV   1.902E+01  2.088E-02   16.46 um     5596 A      5181 A   
 140.00 MeV   1.877E+01  1.959E-02   17.63 um     5855 A      5277 A   
 150.00 MeV   1.852E+01  1.847E-02   18.81 um     6109 A      5372 A   
 160.00 MeV   1.826E+01  1.747E-02   20.01 um     6360 A      5467 A   
 170.00 MeV   1.800E+01  1.658E-02   21.23 um     6608 A      5561 A   
 180.00 MeV   1.775E+01  1.578E-02   22.47 um     6853 A      5656 A   
 200.00 MeV   1.725E+01  1.441E-02   24.99 um     7762 A      5848 A   
 225.00 MeV   1.663E+01  1.301E-02   28.26 um     9068 A      6090 A   
 250.00 MeV   1.604E+01  1.188E-02   31.64 um     1.03 um     6338 A   
 275.00 MeV   1.547E+01  1.093E-02   35.15 um     1.15 um     6593 A   
 300.00 MeV   1.493E+01  1.013E-02   38.79 um     1.26 um     6854 A   
 325.00 MeV   1.441E+01  9.449E-03   42.56 um     1.37 um     7124 A   
 350.00 MeV   1.392E+01  8.856E-03   46.47 um     1.48 um     7402 A   
 375.00 MeV   1.346E+01  8.337E-03   50.50 um     1.59 um     7688 A   
 400.00 MeV   1.302E+01  7.879E-03   54.68 um     1.70 um     7984 A   
 450.00 MeV   1.222E+01  7.105E-03   63.45 um     2.11 um     8604 A   
 500.00 MeV   1.151E+01  6.476E-03   72.78 um     2.49 um     9263 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  4.5187E+01                 eV / Angstrom 
  4.5187E+02                keV / micron   
  4.5187E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  7.9539E+01                 eV / (1E15 atoms/cm2)
  1.5384E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
