 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 08, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Platinum.txt

 Ion = Silicon [14] , Mass = 31.974 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5916E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  12.00 MeV   4.175E+00  2.759E-02    2.02 um     3367 A      3839 A   
  13.00 MeV   4.300E+00  2.596E-02    2.13 um     3402 A      3909 A   
  14.00 MeV   4.411E+00  2.452E-02    2.23 um     3433 A      3975 A   
  15.00 MeV   4.510E+00  2.325E-02    2.33 um     3462 A      4036 A   
  16.00 MeV   4.599E+00  2.212E-02    2.43 um     3489 A      4093 A   
  17.00 MeV   4.679E+00  2.110E-02    2.53 um     3514 A      4148 A   
  18.00 MeV   4.752E+00  2.018E-02    2.62 um     3537 A      4199 A   
  20.00 MeV   4.876E+00  1.858E-02    2.81 um     3585 A      4294 A   
  22.50 MeV   5.000E+00  1.693E-02    3.04 um     3641 A      4403 A   
  25.00 MeV   5.097E+00  1.557E-02    3.27 um     3692 A      4502 A   
  27.50 MeV   5.173E+00  1.443E-02    3.50 um     3739 A      4594 A   
  30.00 MeV   5.230E+00  1.346E-02    3.72 um     3783 A      4681 A   
  32.50 MeV   5.273E+00  1.262E-02    3.94 um     3824 A      4762 A   
  35.00 MeV   5.303E+00  1.189E-02    4.15 um     3864 A      4839 A   
  37.50 MeV   5.323E+00  1.124E-02    4.37 um     3901 A      4914 A   
  40.00 MeV   5.333E+00  1.067E-02    4.59 um     3937 A      4985 A   
  45.00 MeV   5.332E+00  9.688E-03    5.02 um     4030 A      5122 A   
  50.00 MeV   5.309E+00  8.887E-03    5.45 um     4118 A      5251 A   
  55.00 MeV   5.270E+00  8.216E-03    5.89 um     4204 A      5376 A   
  60.00 MeV   5.220E+00  7.647E-03    6.33 um     4287 A      5497 A   
  65.00 MeV   5.170E+00  7.156E-03    6.78 um     4370 A      5616 A   
  70.00 MeV   5.135E+00  6.729E-03    7.23 um     4451 A      5732 A   
  80.00 MeV   5.012E+00  6.020E-03    8.14 um     4701 A      5959 A   
  90.00 MeV   4.873E+00  5.455E-03    9.08 um     4948 A      6183 A   
 100.00 MeV   4.734E+00  4.993E-03   10.05 um     5195 A      6407 A   
 110.00 MeV   4.600E+00  4.608E-03   11.04 um     5443 A      6632 A   
 120.00 MeV   4.472E+00  4.281E-03   12.07 um     5692 A      6859 A   
 130.00 MeV   4.351E+00  4.001E-03   13.12 um     5944 A      7090 A   
 140.00 MeV   4.237E+00  3.757E-03   14.20 um     6197 A      7323 A   
 150.00 MeV   4.131E+00  3.543E-03   15.31 um     6453 A      7561 A   
 160.00 MeV   4.031E+00  3.353E-03   16.45 um     6712 A      7802 A   
 170.00 MeV   3.938E+00  3.184E-03   17.62 um     6972 A      8048 A   
 180.00 MeV   3.851E+00  3.032E-03   18.81 um     7235 A      8298 A   
 200.00 MeV   3.692E+00  2.771E-03   21.28 um     8146 A      8810 A   
 225.00 MeV   3.519E+00  2.504E-03   24.51 um     9472 A      9475 A   
 250.00 MeV   3.368E+00  2.287E-03   27.89 um     1.07 um     1.02 um  
 275.00 MeV   3.234E+00  2.107E-03   31.41 um     1.20 um     1.09 um  
 300.00 MeV   3.115E+00  1.954E-03   35.08 um     1.32 um     1.16 um  
 325.00 MeV   3.007E+00  1.823E-03   38.88 um     1.44 um     1.24 um  
 350.00 MeV   2.908E+00  1.710E-03   42.81 um     1.55 um     1.32 um  
 375.00 MeV   2.816E+00  1.610E-03   46.88 um     1.67 um     1.40 um  
 400.00 MeV   2.730E+00  1.522E-03   51.08 um     1.78 um     1.48 um  
 450.00 MeV   2.574E+00  1.374E-03   59.86 um     2.20 um     1.65 um  
 500.00 MeV   2.434E+00  1.253E-03   69.16 um     2.59 um     1.83 um  
 550.00 MeV   2.307E+00  1.153E-03   78.98 um     2.96 um     2.01 um  
 600.00 MeV   2.192E+00  1.068E-03   89.33 um     3.32 um     2.21 um  
 650.00 MeV   2.086E+00  9.955E-04  100.22 um     3.69 um     2.41 um  
 700.00 MeV   1.990E+00  9.328E-04  111.65 um     4.05 um     2.62 um  
 800.00 MeV   1.825E+00  8.293E-04  136.09 um     5.37 um     3.07 um  
 900.00 MeV   1.694E+00  7.474E-04  162.59 um     6.59 um     3.55 um  
   1.00 GeV   1.587E+00  6.810E-04  190.99 um     7.77 um     4.06 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.1449E+02                 eV / Angstrom 
  2.1449E+03                keV / micron   
  2.1449E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.2540E+02                 eV / (1E15 atoms/cm2)
  1.2316E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
