 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 19, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Lead in Carbon.txt

 Ion = Lead [82] , Mass = 208 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  37.50 MeV   3.808E+01  2.549E+00    5.54 um     2192 A      2293 A   
  40.00 MeV   3.996E+01  2.434E+00    5.81 um     2247 A      2359 A   
  45.00 MeV   4.366E+01  2.235E+00    6.31 um     2395 A      2475 A   
  50.00 MeV   4.725E+01  2.070E+00    6.78 um     2515 A      2575 A   
  55.00 MeV   5.068E+01  1.930E+00    7.21 um     2616 A      2662 A   
  60.00 MeV   5.394E+01  1.809E+00    7.62 um     2702 A      2739 A   
  65.00 MeV   5.703E+01  1.704E+00    8.01 um     2776 A      2807 A   
  70.00 MeV   5.994E+01  1.612E+00    8.38 um     2842 A      2868 A   
  80.00 MeV   6.525E+01  1.456E+00    9.07 um     3033 A      2973 A   
  90.00 MeV   6.995E+01  1.331E+00    9.71 um     3188 A      3061 A   
 100.00 MeV   7.411E+01  1.227E+00   10.32 um     3318 A      3137 A   
 110.00 MeV   7.779E+01  1.140E+00   10.89 um     3432 A      3203 A   
 120.00 MeV   8.108E+01  1.065E+00   11.44 um     3532 A      3262 A   
 130.00 MeV   8.402E+01  1.000E+00   11.97 um     3622 A      3315 A   
 140.00 MeV   8.666E+01  9.436E-01   12.48 um     3705 A      3363 A   
 150.00 MeV   8.904E+01  8.935E-01   12.98 um     3781 A      3407 A   
 160.00 MeV   9.119E+01  8.489E-01   13.47 um     3851 A      3448 A   
 170.00 MeV   9.315E+01  8.089E-01   13.95 um     3917 A      3486 A   
 180.00 MeV   9.493E+01  7.729E-01   14.42 um     3980 A      3521 A   
 200.00 MeV   9.805E+01  7.103E-01   15.33 um     4196 A      3586 A   
 225.00 MeV   1.013E+02  6.460E-01   16.43 um     4490 A      3658 A   
 250.00 MeV   1.039E+02  5.931E-01   17.51 um     4750 A      3722 A   
 275.00 MeV   1.061E+02  5.489E-01   18.56 um     4986 A      3781 A   
 300.00 MeV   1.079E+02  5.112E-01   19.59 um     5203 A      3834 A   
 325.00 MeV   1.094E+02  4.788E-01   20.61 um     5405 A      3884 A   
 350.00 MeV   1.106E+02  4.505E-01   21.61 um     5595 A      3930 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom 
  2.2529E+02                keV / micron   
  2.2529E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  2.3864E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
